python train.py                                                                                                               ✔  6s   torch  
Map: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1368/1368 [00:00<00:00, 4806.15 examples/s]
✅ Starting training...
  0%|                                                                                                                                                                              | 0/10260 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
{'loss': 9.3368, 'grad_norm': 27.667043685913086, 'learning_rate': 2.3391812865497075e-06, 'epoch': 0.15}                                                                                                    
{'loss': 0.1568, 'grad_norm': 0.28125613927841187, 'learning_rate': 3.157894736842105e-05, 'epoch': 1.9}                                                                                                     
{'loss': 0.1485, 'grad_norm': 0.3321515619754791, 'learning_rate': 3.401559454191033e-05, 'epoch': 2.05}                                                                                                     
{'loss': 0.1375, 'grad_norm': 0.27981728315353394, 'learning_rate': 3.645224171539961e-05, 'epoch': 2.19}                                                                                                    
{'loss': 0.1434, 'grad_norm': 0.2089868038892746, 'learning_rate': 3.888888888888889e-05, 'epoch': 2.34}                                                                                                     
{'loss': 0.1479, 'grad_norm': 0.3051791489124298, 'learning_rate': 4.132553606237817e-05, 'epoch': 2.49}                                                                                                     
{'loss': 0.1438, 'grad_norm': 0.2084926962852478, 'learning_rate': 4.376218323586745e-05, 'epoch': 2.63}                                                                                                     
{'loss': 0.155, 'grad_norm': 0.30702388286590576, 'learning_rate': 4.619883040935672e-05, 'epoch': 2.78}                                                                                                     
{'loss': 0.1419, 'grad_norm': 0.4468979835510254, 'learning_rate': 4.863547758284601e-05, 'epoch': 2.92}                                                                                                     
{'loss': 0.1385, 'grad_norm': 0.25933706760406494, 'learning_rate': 4.988087502707386e-05, 'epoch': 3.07}                                                                                                    
{'loss': 0.138, 'grad_norm': 0.2645634114742279, 'learning_rate': 4.961013645224172e-05, 'epoch': 3.22}                                                                                                      
{'loss': 0.1533, 'grad_norm': 0.32208889722824097, 'learning_rate': 4.933939787740958e-05, 'epoch': 3.36}                                                                                                    
{'loss': 0.1416, 'grad_norm': 0.37036946415901184, 'learning_rate': 4.9068659302577436e-05, 'epoch': 3.51}                                                                                                   
{'loss': 0.1468, 'grad_norm': 0.3033387064933777, 'learning_rate': 4.879792072774529e-05, 'epoch': 3.65}                                                                                                     
{'loss': 0.1338, 'grad_norm': 0.20324262976646423, 'learning_rate': 4.8527182152913146e-05, 'epoch': 3.8}                                                                                                    
{'loss': 0.1376, 'grad_norm': 0.25190794467926025, 'learning_rate': 4.8256443578081005e-05, 'epoch': 3.95}                                                                                                   
{'loss': 0.1406, 'grad_norm': 0.24458622932434082, 'learning_rate': 4.798570500324886e-05, 'epoch': 4.09}                                                                                                    
{'loss': 0.1518, 'grad_norm': 0.20271974802017212, 'learning_rate': 4.771496642841672e-05, 'epoch': 4.24}                                                                                                    
{'loss': 0.1414, 'grad_norm': 0.24548158049583435, 'learning_rate': 4.744422785358458e-05, 'epoch': 4.39}                                                                                                    
{'loss': 0.1303, 'grad_norm': 0.2496935874223709, 'learning_rate': 4.717348927875244e-05, 'epoch': 4.53}                                                                                                     
{'loss': 0.1382, 'grad_norm': 0.31019535660743713, 'learning_rate': 4.69027507039203e-05, 'epoch': 4.68}                                                                                                     
{'loss': 0.1323, 'grad_norm': 0.24340185523033142, 'learning_rate': 4.6632012129088156e-05, 'epoch': 4.82}                                                                                                   
{'loss': 0.1397, 'grad_norm': 0.24393799901008606, 'learning_rate': 4.6361273554256015e-05, 'epoch': 4.97}                                                                                                   
{'loss': 0.1356, 'grad_norm': 0.25053146481513977, 'learning_rate': 4.609053497942387e-05, 'epoch': 5.12}                                                                                                    
{'loss': 0.1381, 'grad_norm': 0.2948256731033325, 'learning_rate': 4.581979640459173e-05, 'epoch': 5.26}                                                                                                     
{'loss': 0.134, 'grad_norm': 0.24553702771663666, 'learning_rate': 4.5549057829759584e-05, 'epoch': 5.41}                                                                                                    
{'loss': 0.14, 'grad_norm': 0.21174407005310059, 'learning_rate': 4.527831925492744e-05, 'epoch': 5.56}                                                                                                      
{'loss': 0.1371, 'grad_norm': 0.28462496399879456, 'learning_rate': 4.50075806800953e-05, 'epoch': 5.7}                                                                                                      
{'loss': 0.1353, 'grad_norm': 0.27334046363830566, 'learning_rate': 4.473684210526316e-05, 'epoch': 5.85}                                                                                                    
{'loss': 0.1368, 'grad_norm': 0.21522149443626404, 'learning_rate': 4.446610353043102e-05, 'epoch': 5.99}                                                                                                    
{'loss': 0.1408, 'grad_norm': 0.3299723267555237, 'learning_rate': 4.4195364955598876e-05, 'epoch': 6.14}                                                                                                    
{'loss': 0.1345, 'grad_norm': 0.2112480252981186, 'learning_rate': 4.392462638076673e-05, 'epoch': 6.29}                                                                                                     
{'loss': 0.1303, 'grad_norm': 0.37091782689094543, 'learning_rate': 4.365388780593459e-05, 'epoch': 6.43}                                                                                                    
{'loss': 0.1409, 'grad_norm': 0.30054089426994324, 'learning_rate': 4.338314923110245e-05, 'epoch': 6.58}                                                                                                    
{'loss': 0.127, 'grad_norm': 0.2806800901889801, 'learning_rate': 4.311241065627031e-05, 'epoch': 6.73}                                                                                                      
{'loss': 0.138, 'grad_norm': 0.34408849477767944, 'learning_rate': 4.284167208143817e-05, 'epoch': 6.87}                                                                                                     
{'loss': 0.1365, 'grad_norm': 0.3729667067527771, 'learning_rate': 4.257093350660603e-05, 'epoch': 7.02}                                                                                                     
{'loss': 0.1351, 'grad_norm': 0.39795196056365967, 'learning_rate': 4.230019493177388e-05, 'epoch': 7.16}                                                                                                    
{'loss': 0.1304, 'grad_norm': 0.3023499846458435, 'learning_rate': 4.202945635694174e-05, 'epoch': 7.31}                                                                                                     
{'loss': 0.141, 'grad_norm': 0.294525682926178, 'learning_rate': 4.17587177821096e-05, 'epoch': 7.46}                                                                                                        
{'loss': 0.1258, 'grad_norm': 0.32453808188438416, 'learning_rate': 4.1487979207277455e-05, 'epoch': 7.6}                                                                                                    
{'loss': 0.1288, 'grad_norm': 0.42843589186668396, 'learning_rate': 4.1217240632445314e-05, 'epoch': 7.75}                                                                                                   
{'loss': 0.1318, 'grad_norm': 0.28017210960388184, 'learning_rate': 4.094650205761317e-05, 'epoch': 7.89}                                                                                                    
{'loss': 0.135, 'grad_norm': 0.2608020305633545, 'learning_rate': 4.0675763482781024e-05, 'epoch': 8.04}                                                                                                     
{'loss': 0.1272, 'grad_norm': 0.3007006049156189, 'learning_rate': 4.040502490794888e-05, 'epoch': 8.19}                                                                                                     
{'loss': 0.1198, 'grad_norm': 0.2666652798652649, 'learning_rate': 4.013428633311674e-05, 'epoch': 8.33}                                                                                                     
{'loss': 0.1384, 'grad_norm': 0.30700695514678955, 'learning_rate': 3.98635477582846e-05, 'epoch': 8.48}                                                                                                     
{'loss': 0.1321, 'grad_norm': 0.28748276829719543, 'learning_rate': 3.959280918345246e-05, 'epoch': 8.63}                                                                                                    
{'loss': 0.1225, 'grad_norm': 0.3325439393520355, 'learning_rate': 3.9322070608620324e-05, 'epoch': 8.77}                                                                                                    
{'loss': 0.1283, 'grad_norm': 0.47083035111427307, 'learning_rate': 3.9051332033788176e-05, 'epoch': 8.92}                                                                                                   
{'loss': 0.1281, 'grad_norm': 0.2667798399925232, 'learning_rate': 3.8780593458956034e-05, 'epoch': 9.06}                                                                                                    
{'loss': 0.1222, 'grad_norm': 0.3761787414550781, 'learning_rate': 3.850985488412389e-05, 'epoch': 9.21}                                                                                                     
{'loss': 0.123, 'grad_norm': 0.5077159404754639, 'learning_rate': 3.823911630929175e-05, 'epoch': 9.36}                                                                                                      
{'loss': 0.1315, 'grad_norm': 0.34960833191871643, 'learning_rate': 3.796837773445961e-05, 'epoch': 9.5}                                                                                                     
{'loss': 0.1342, 'grad_norm': 0.3542415201663971, 'learning_rate': 3.769763915962747e-05, 'epoch': 9.65}                                                                                                     
{'loss': 0.1233, 'grad_norm': 0.47606298327445984, 'learning_rate': 3.742690058479532e-05, 'epoch': 9.8}                                                                                                     
{'loss': 0.1194, 'grad_norm': 0.30377140641212463, 'learning_rate': 3.715616200996318e-05, 'epoch': 9.94}                                                                                                    
{'loss': 0.1311, 'grad_norm': 0.34560534358024597, 'learning_rate': 3.688542343513104e-05, 'epoch': 10.09}                                                                                                   
{'loss': 0.1183, 'grad_norm': 0.3784887194633484, 'learning_rate': 3.6614684860298896e-05, 'epoch': 10.23}                                                                                                   
{'loss': 0.1221, 'grad_norm': 0.406859815120697, 'learning_rate': 3.6343946285466754e-05, 'epoch': 10.38}                                                                                                    
{'loss': 0.124, 'grad_norm': 0.4772474765777588, 'learning_rate': 3.607320771063461e-05, 'epoch': 10.53}                                                                                                     
{'loss': 0.1189, 'grad_norm': 0.5052791237831116, 'learning_rate': 3.580246913580247e-05, 'epoch': 10.67}                                                                                                    
{'loss': 0.1274, 'grad_norm': 0.5448088645935059, 'learning_rate': 3.553173056097033e-05, 'epoch': 10.82}                                                                                                    
{'loss': 0.114, 'grad_norm': 0.4771609902381897, 'learning_rate': 3.526099198613819e-05, 'epoch': 10.96}                                                                                                     
{'loss': 0.1203, 'grad_norm': 0.5768439173698425, 'learning_rate': 3.499025341130605e-05, 'epoch': 11.11}                                                                                                    
{'loss': 0.1126, 'grad_norm': 0.5390938520431519, 'learning_rate': 3.4719514836473906e-05, 'epoch': 11.26}                                                                                                   
{'loss': 0.1161, 'grad_norm': 0.4133041799068451, 'learning_rate': 3.4448776261641764e-05, 'epoch': 11.4}                                                                                                    
{'loss': 0.1175, 'grad_norm': 0.46553367376327515, 'learning_rate': 3.4178037686809616e-05, 'epoch': 11.55}                                                                                                  
{'loss': 0.1156, 'grad_norm': 0.512302815914154, 'learning_rate': 3.3907299111977475e-05, 'epoch': 11.7}                                                                                                     
{'loss': 0.1233, 'grad_norm': 0.4504324793815613, 'learning_rate': 3.363656053714533e-05, 'epoch': 11.84}                                                                                                    
{'loss': 0.1078, 'grad_norm': 0.48828065395355225, 'learning_rate': 3.336582196231319e-05, 'epoch': 11.99}                                                                                                   
{'loss': 0.1112, 'grad_norm': 0.5851935148239136, 'learning_rate': 3.309508338748105e-05, 'epoch': 12.13}                                                                                                    
{'loss': 0.1075, 'grad_norm': 0.46395599842071533, 'learning_rate': 3.28243448126489e-05, 'epoch': 12.28}                                                                                                    
{'loss': 0.1121, 'grad_norm': 0.7344390153884888, 'learning_rate': 3.255360623781676e-05, 'epoch': 12.43}                                                                                                    
{'loss': 0.107, 'grad_norm': 0.5352252721786499, 'learning_rate': 3.228286766298462e-05, 'epoch': 12.57}                                                                                                     
{'loss': 0.1186, 'grad_norm': 0.4571462571620941, 'learning_rate': 3.2012129088152485e-05, 'epoch': 12.72}                                                                                                   
{'loss': 0.1117, 'grad_norm': 0.3594827950000763, 'learning_rate': 3.174139051332034e-05, 'epoch': 12.87}                                                                                                    
{'loss': 0.111, 'grad_norm': 0.37713778018951416, 'learning_rate': 3.14706519384882e-05, 'epoch': 13.01}                                                                                                     
{'loss': 0.1064, 'grad_norm': 0.4740076959133148, 'learning_rate': 3.1199913363656054e-05, 'epoch': 13.16}                                                                                                   
{'loss': 0.1114, 'grad_norm': 0.6533418893814087, 'learning_rate': 3.092917478882391e-05, 'epoch': 13.3}                                                                                                     
{'loss': 0.1065, 'grad_norm': 0.6182710528373718, 'learning_rate': 3.065843621399177e-05, 'epoch': 13.45}                                                                                                    
{'loss': 0.1103, 'grad_norm': 0.588245153427124, 'learning_rate': 3.038769763915963e-05, 'epoch': 13.6}                                                                                                      
{'loss': 0.1061, 'grad_norm': 0.38840845227241516, 'learning_rate': 3.0116959064327488e-05, 'epoch': 13.74}                                                                                                  
{'loss': 0.1053, 'grad_norm': 0.5409715175628662, 'learning_rate': 2.9846220489495346e-05, 'epoch': 13.89}                                                                                                   
{'loss': 0.1025, 'grad_norm': 0.5928585529327393, 'learning_rate': 2.95754819146632e-05, 'epoch': 14.04}                                                                                                     
{'loss': 0.1015, 'grad_norm': 0.426615446805954, 'learning_rate': 2.930474333983106e-05, 'epoch': 14.18}                                                                                                     
{'loss': 0.1045, 'grad_norm': 0.697254478931427, 'learning_rate': 2.903400476499892e-05, 'epoch': 14.33}                                                                                                     
{'loss': 0.1108, 'grad_norm': 0.5847859382629395, 'learning_rate': 2.8763266190166777e-05, 'epoch': 14.47}                                                                                                   
{'loss': 0.1067, 'grad_norm': 0.7708615660667419, 'learning_rate': 2.8492527615334636e-05, 'epoch': 14.62}                                                                                                   
{'loss': 0.1047, 'grad_norm': 0.5629444718360901, 'learning_rate': 2.8221789040502494e-05, 'epoch': 14.77}                                                                                                   
{'loss': 0.1059, 'grad_norm': 0.5780828595161438, 'learning_rate': 2.7951050465670346e-05, 'epoch': 14.91}                                                                                                   
{'loss': 0.098, 'grad_norm': 0.4333679974079132, 'learning_rate': 2.7680311890838205e-05, 'epoch': 15.06}                                                                                                    
{'loss': 0.1001, 'grad_norm': 0.5764894485473633, 'learning_rate': 2.7409573316006067e-05, 'epoch': 15.2}                                                                                                    
{'loss': 0.1017, 'grad_norm': 0.48563849925994873, 'learning_rate': 2.7138834741173925e-05, 'epoch': 15.35}                                                                                                  
{'loss': 0.103, 'grad_norm': 0.5830942392349243, 'learning_rate': 2.6868096166341784e-05, 'epoch': 15.5}                                                                                                     
{'loss': 0.1048, 'grad_norm': 0.724814772605896, 'learning_rate': 2.6597357591509642e-05, 'epoch': 15.64}                                                                                                    
{'loss': 0.0975, 'grad_norm': 0.6357912421226501, 'learning_rate': 2.6326619016677494e-05, 'epoch': 15.79}                                                                                                   
{'loss': 0.1014, 'grad_norm': 0.7512844204902649, 'learning_rate': 2.6055880441845353e-05, 'epoch': 15.94}                                                                                                   
{'loss': 0.0966, 'grad_norm': 0.48109161853790283, 'learning_rate': 2.578514186701321e-05, 'epoch': 16.08}                                                                                                   
{'loss': 0.0947, 'grad_norm': 0.6269916892051697, 'learning_rate': 2.551440329218107e-05, 'epoch': 16.23}                                                                                                    
{'loss': 0.1065, 'grad_norm': 0.743377149105072, 'learning_rate': 2.5243664717348932e-05, 'epoch': 16.37}                                                                                                    
{'loss': 0.0929, 'grad_norm': 0.7290382385253906, 'learning_rate': 2.4972926142516787e-05, 'epoch': 16.52}                                                                                                   
{'loss': 0.1003, 'grad_norm': 0.8202674388885498, 'learning_rate': 2.4702187567684646e-05, 'epoch': 16.67}                                                                                                   
{'loss': 0.1015, 'grad_norm': 0.782558023929596, 'learning_rate': 2.44314489928525e-05, 'epoch': 16.81}                                                                                                      
{'loss': 0.0975, 'grad_norm': 0.5456271171569824, 'learning_rate': 2.416071041802036e-05, 'epoch': 16.96}                                                                                                    
{'loss': 0.1018, 'grad_norm': 0.7846236824989319, 'learning_rate': 2.3889971843188218e-05, 'epoch': 17.11}                                                                                                   
{'loss': 0.0854, 'grad_norm': 0.5911398530006409, 'learning_rate': 2.3619233268356076e-05, 'epoch': 17.25}                                                                                                   
{'loss': 0.0986, 'grad_norm': 0.7687910199165344, 'learning_rate': 2.3348494693523935e-05, 'epoch': 17.4}                                                                                                    
{'loss': 0.0925, 'grad_norm': 0.7881141901016235, 'learning_rate': 2.3077756118691794e-05, 'epoch': 17.54}                                                                                                   
{'loss': 0.1041, 'grad_norm': 0.7013596892356873, 'learning_rate': 2.280701754385965e-05, 'epoch': 17.69}                                                                                                    
{'loss': 0.0969, 'grad_norm': 0.706891655921936, 'learning_rate': 2.2536278969027507e-05, 'epoch': 17.84}                                                                                                    
{'loss': 0.0967, 'grad_norm': 0.817195475101471, 'learning_rate': 2.2265540394195366e-05, 'epoch': 17.98}                                                                                                    
{'loss': 0.0891, 'grad_norm': 1.0267659425735474, 'learning_rate': 2.199480181936322e-05, 'epoch': 18.13}                                                                                                    
{'loss': 0.0972, 'grad_norm': 0.5531962513923645, 'learning_rate': 2.1724063244531083e-05, 'epoch': 18.27}                                                                                                   
{'loss': 0.09, 'grad_norm': 0.8345279693603516, 'learning_rate': 2.145332466969894e-05, 'epoch': 18.42}                                                                                                      
{'loss': 0.0912, 'grad_norm': 0.773396909236908, 'learning_rate': 2.1182586094866797e-05, 'epoch': 18.57}                                                                                                    
{'loss': 0.0958, 'grad_norm': 0.5878047347068787, 'learning_rate': 2.0911847520034655e-05, 'epoch': 18.71}                                                                                                   
{'loss': 0.099, 'grad_norm': 0.5822200775146484, 'learning_rate': 2.0641108945202514e-05, 'epoch': 18.86}                                                                                                    
{'loss': 0.098, 'grad_norm': 0.5605301260948181, 'learning_rate': 2.037037037037037e-05, 'epoch': 19.01}                                                                                                     
{'loss': 0.0914, 'grad_norm': 0.9024749994277954, 'learning_rate': 2.0099631795538228e-05, 'epoch': 19.15}                                                                                                   
{'loss': 0.0932, 'grad_norm': 0.487932413816452, 'learning_rate': 1.9828893220706086e-05, 'epoch': 19.3}                                                                                                     
{'loss': 0.0916, 'grad_norm': 0.7657111883163452, 'learning_rate': 1.9558154645873945e-05, 'epoch': 19.44}                                                                                                   
{'loss': 0.0918, 'grad_norm': 0.7731583714485168, 'learning_rate': 1.9287416071041803e-05, 'epoch': 19.59}                                                                                                   
{'loss': 0.0927, 'grad_norm': 0.5972278118133545, 'learning_rate': 1.9016677496209662e-05, 'epoch': 19.74}                                                                                                   
{'loss': 0.0871, 'grad_norm': 0.6323860287666321, 'learning_rate': 1.8745938921377517e-05, 'epoch': 19.88}                                                                                                   
{'loss': 0.095, 'grad_norm': 0.6450405716896057, 'learning_rate': 1.8475200346545376e-05, 'epoch': 20.03}                                                                                                    
{'loss': 0.0887, 'grad_norm': 0.5990056991577148, 'learning_rate': 1.8204461771713234e-05, 'epoch': 20.18}                                                                                                   
{'loss': 0.0913, 'grad_norm': 0.8648619055747986, 'learning_rate': 1.7933723196881093e-05, 'epoch': 20.32}                                                                                                   
{'loss': 0.0903, 'grad_norm': 0.6212108135223389, 'learning_rate': 1.766298462204895e-05, 'epoch': 20.47}                                                                                                    
{'loss': 0.0898, 'grad_norm': 0.5361670255661011, 'learning_rate': 1.739224604721681e-05, 'epoch': 20.61}                                                                                                    
{'loss': 0.0904, 'grad_norm': 0.7535505294799805, 'learning_rate': 1.7121507472384665e-05, 'epoch': 20.76}                                                                                                   
{'loss': 0.0943, 'grad_norm': 0.4413542151451111, 'learning_rate': 1.6850768897552524e-05, 'epoch': 20.91}                                                                                                   
{'loss': 0.0848, 'grad_norm': 0.7194818258285522, 'learning_rate': 1.6580030322720382e-05, 'epoch': 21.05}                                                                                                   
{'loss': 0.09, 'grad_norm': 0.9832804799079895, 'learning_rate': 1.6309291747888237e-05, 'epoch': 21.2}                                                                                                      
{'loss': 0.0886, 'grad_norm': 0.8670444488525391, 'learning_rate': 1.60385531730561e-05, 'epoch': 21.35}                                                                                                     
{'loss': 0.0853, 'grad_norm': 0.6707501411437988, 'learning_rate': 1.5767814598223958e-05, 'epoch': 21.49}                                                                                                   
{'loss': 0.0833, 'grad_norm': 1.1351749897003174, 'learning_rate': 1.5497076023391813e-05, 'epoch': 21.64}                                                                                                   
{'loss': 0.0876, 'grad_norm': 0.6164793372154236, 'learning_rate': 1.5226337448559672e-05, 'epoch': 21.78}                                                                                                   
{'loss': 0.0881, 'grad_norm': 0.5520636439323425, 'learning_rate': 1.495559887372753e-05, 'epoch': 21.93}                                                                                                    
{'loss': 0.0956, 'grad_norm': 0.9277230501174927, 'learning_rate': 1.4684860298895387e-05, 'epoch': 22.08}                                                                                                   
{'loss': 0.0867, 'grad_norm': 0.6441360712051392, 'learning_rate': 1.4414121724063246e-05, 'epoch': 22.22}                                                                                                   
{'loss': 0.0881, 'grad_norm': 0.9010831713676453, 'learning_rate': 1.4143383149231104e-05, 'epoch': 22.37}                                                                                                   
{'loss': 0.09, 'grad_norm': 0.5379841923713684, 'learning_rate': 1.3872644574398961e-05, 'epoch': 22.51}                                                                                                     
{'loss': 0.0912, 'grad_norm': 0.8946126699447632, 'learning_rate': 1.360190599956682e-05, 'epoch': 22.66}                                                                                                    
{'loss': 0.0789, 'grad_norm': 0.502271831035614, 'learning_rate': 1.3331167424734678e-05, 'epoch': 22.81}                                                                                                    
{'loss': 0.0846, 'grad_norm': 0.6319920420646667, 'learning_rate': 1.3060428849902533e-05, 'epoch': 22.95}                                                                                                   
{'loss': 0.0844, 'grad_norm': 0.8327049016952515, 'learning_rate': 1.2789690275070394e-05, 'epoch': 23.1}                                                                                                    
{'loss': 0.0847, 'grad_norm': 0.8478946685791016, 'learning_rate': 1.2518951700238252e-05, 'epoch': 23.25}                                                                                                   
{'loss': 0.0863, 'grad_norm': 1.1284371614456177, 'learning_rate': 1.2248213125406107e-05, 'epoch': 23.39}                                                                                                   
{'loss': 0.0802, 'grad_norm': 0.5896404385566711, 'learning_rate': 1.1977474550573966e-05, 'epoch': 23.54}                                                                                                   
{'loss': 0.0864, 'grad_norm': 0.5815756916999817, 'learning_rate': 1.1706735975741824e-05, 'epoch': 23.68}                                                                                                   
{'loss': 0.0835, 'grad_norm': 0.6939945816993713, 'learning_rate': 1.1435997400909681e-05, 'epoch': 23.83}                                                                                                   
{'loss': 0.0857, 'grad_norm': 0.7049208283424377, 'learning_rate': 1.116525882607754e-05, 'epoch': 23.98}                                                                                                    
{'loss': 0.0823, 'grad_norm': 1.0273932218551636, 'learning_rate': 1.0894520251245398e-05, 'epoch': 24.12}                                                                                                   
{'loss': 0.0829, 'grad_norm': 0.5977895259857178, 'learning_rate': 1.0623781676413255e-05, 'epoch': 24.27}                                                                                                   
{'loss': 0.0798, 'grad_norm': 0.9443822503089905, 'learning_rate': 1.0353043101581114e-05, 'epoch': 24.42}                                                                                                   
{'loss': 0.0824, 'grad_norm': 1.0177589654922485, 'learning_rate': 1.008230452674897e-05, 'epoch': 24.56}                                                                                                    
{'loss': 0.0886, 'grad_norm': 0.7322644591331482, 'learning_rate': 9.81156595191683e-06, 'epoch': 24.71}                                                                                                     
{'loss': 0.0814, 'grad_norm': 0.72342449426651, 'learning_rate': 9.540827377084688e-06, 'epoch': 24.85}                                                                                                      
{'loss': 0.0896, 'grad_norm': 0.6959897875785828, 'learning_rate': 9.270088802252545e-06, 'epoch': 25.0}                                                                                                     
{'loss': 0.0828, 'grad_norm': 0.7841198444366455, 'learning_rate': 8.999350227420403e-06, 'epoch': 25.15}                                                                                                    
{'loss': 0.0829, 'grad_norm': 0.7396312952041626, 'learning_rate': 8.728611652588262e-06, 'epoch': 25.29}                                                                                                    
{'loss': 0.0834, 'grad_norm': 0.8147743940353394, 'learning_rate': 8.457873077756119e-06, 'epoch': 25.44}                                                                                                    
{'loss': 0.0835, 'grad_norm': 1.0347782373428345, 'learning_rate': 8.187134502923977e-06, 'epoch': 25.58}                                                                                                    
{'loss': 0.0775, 'grad_norm': 0.5935453772544861, 'learning_rate': 7.916395928091836e-06, 'epoch': 25.73}                                                                                                    
{'loss': 0.0812, 'grad_norm': 1.1082545518875122, 'learning_rate': 7.645657353259693e-06, 'epoch': 25.88}                                                                                                    
{'loss': 0.0846, 'grad_norm': 0.8598820567131042, 'learning_rate': 7.3749187784275505e-06, 'epoch': 26.02}                                                                                                   
{'loss': 0.0805, 'grad_norm': 0.8883362412452698, 'learning_rate': 7.104180203595409e-06, 'epoch': 26.17}                                                                                                    
{'loss': 0.0802, 'grad_norm': 1.0813387632369995, 'learning_rate': 6.833441628763267e-06, 'epoch': 26.32}                                                                                                    
{'loss': 0.0821, 'grad_norm': 0.8141085505485535, 'learning_rate': 6.562703053931124e-06, 'epoch': 26.46}                                                                                                    
{'loss': 0.0831, 'grad_norm': 0.8053337335586548, 'learning_rate': 6.291964479098983e-06, 'epoch': 26.61}                                                                                                    
{'loss': 0.0863, 'grad_norm': 0.5796098709106445, 'learning_rate': 6.02122590426684e-06, 'epoch': 26.75}                                                                                                     
{'loss': 0.0791, 'grad_norm': 0.88133305311203, 'learning_rate': 5.750487329434698e-06, 'epoch': 26.9}                                                                                                       
{'loss': 0.079, 'grad_norm': 0.9264336228370667, 'learning_rate': 5.479748754602556e-06, 'epoch': 27.05}                                                                                                     
{'loss': 0.081, 'grad_norm': 1.4748649597167969, 'learning_rate': 5.209010179770414e-06, 'epoch': 27.19}                                                                                                     
{'loss': 0.0794, 'grad_norm': 0.9594874978065491, 'learning_rate': 4.938271604938272e-06, 'epoch': 27.34}                                                                                                    
{'loss': 0.0783, 'grad_norm': 1.1448262929916382, 'learning_rate': 4.667533030106129e-06, 'epoch': 27.49}                                                                                                    
{'loss': 0.08, 'grad_norm': 0.6485016942024231, 'learning_rate': 4.396794455273988e-06, 'epoch': 27.63}                                                                                                      
{'loss': 0.0812, 'grad_norm': 0.9862511157989502, 'learning_rate': 4.126055880441846e-06, 'epoch': 27.78}                                                                                                    
{'loss': 0.0785, 'grad_norm': 0.7398892045021057, 'learning_rate': 3.855317305609703e-06, 'epoch': 27.92}                                                                                                    
{'loss': 0.0869, 'grad_norm': 0.8906760811805725, 'learning_rate': 3.5845787307775615e-06, 'epoch': 28.07}                                                                                                   
{'loss': 0.0781, 'grad_norm': 0.9140909910202026, 'learning_rate': 3.3138401559454192e-06, 'epoch': 28.22}                                                                                                   
{'loss': 0.0788, 'grad_norm': 0.8032660484313965, 'learning_rate': 3.0431015811132774e-06, 'epoch': 28.36}                                                                                                   
{'loss': 0.0818, 'grad_norm': 0.9155228137969971, 'learning_rate': 2.772363006281135e-06, 'epoch': 28.51}                                                                                                    
{'loss': 0.0802, 'grad_norm': 1.1644539833068848, 'learning_rate': 2.501624431448993e-06, 'epoch': 28.65}                                                                                                    
{'loss': 0.0828, 'grad_norm': 1.0435973405838013, 'learning_rate': 2.230885856616851e-06, 'epoch': 28.8}                                                                                                     
{'loss': 0.0811, 'grad_norm': 0.9029171466827393, 'learning_rate': 1.9601472817847087e-06, 'epoch': 28.95}                                                                                                   
{'loss': 0.078, 'grad_norm': 0.6123789548873901, 'learning_rate': 1.6894087069525666e-06, 'epoch': 29.09}                                                                                                    
